appid,game,country_code,country,collected_at,currency,price_local,is_free,on_sale,discount_pct,available
945360,Among Us,ru,Russia,2026-05-05T19:48:44.615378,RUB,225.0,False,False,0,True
945360,Among Us,de,Germany,2026-05-05T19:48:46.569079,EUR,4.49,False,False,0,True
945360,Among Us,gb,United Kingdom,2026-05-05T19:48:48.735917,GBP,3.99,False,False,0,True
945360,Among Us,jp,Japan,2026-05-05T19:48:50.777666,JPY,500.0,False,False,0,True
945360,Among Us,br,Brazil,2026-05-05T19:48:52.663804,BRL,14.99,False,False,0,True
945360,Among Us,au,Australia,2026-05-05T19:48:54.516085,AUD,7.49,False,False,0,True
945360,Among Us,tr,Turkey,2026-05-05T19:48:56.220382,USD,2.49,False,False,0,True
945360,Among Us,in,India,2026-05-05T19:48:57.935379,INR,229.0,False,False,0,True
812140,Assassins Creed Odyssey,us,United States,2026-05-05T19:48:59.684203,USD,59.99,False,False,0,True
812140,Assassins Creed Odyssey,cn,China,2026-05-05T19:49:01.386082,CNY,248.0,False,False,0,True
812140,Assassins Creed Odyssey,ru,Russia,2026-05-05T19:49:03.103833,RUB,,False,False,0,False
812140,Assassins Creed Odyssey,de,Germany,2026-05-05T19:49:05.015036,EUR,59.99,False,False,0,True
812140,Assassins Creed Odyssey,gb,United Kingdom,2026-05-05T19:49:07.094449,GBP,49.99,False,False,0,True
812140,Assassins Creed Odyssey,jp,Japan,2026-05-05T19:49:09.032045,JPY,9240.0,False,False,0,True
812140,Assassins Creed Odyssey,br,Brazil,2026-05-05T19:49:10.932871,BRL,179.99,False,False,0,True
812140,Assassins Creed Odyssey,au,Australia,2026-05-05T19:49:13.025361,AUD,89.95,False,False,0,True
812140,Assassins Creed Odyssey,tr,Turkey,2026-05-05T19:49:15.036563,USD,47.99,False,False,0,True
812140,Assassins Creed Odyssey,in,India,2026-05-05T19:49:17.413367,INR,2999.0,False,False,0,True
546560,Half-Life Alyx,us,United States,2026-05-05T19:49:19.109030,USD,59.99,False,False,0,True
546560,Half-Life Alyx,cn,China,2026-05-05T19:49:20.856189,CNY,198.0,False,False,0,True
546560,Half-Life Alyx,ru,Russia,2026-05-05T19:49:22.621981,RUB,1900.0,False,False,0,True
546560,Half-Life Alyx,de,Germany,2026-05-05T19:49:24.389901,EUR,58.99,False,False,0,True
546560,Half-Life Alyx,gb,United Kingdom,2026-05-05T19:49:26.225926,GBP,49.99,False,False,0,True
546560,Half-Life Alyx,jp,Japan,2026-05-05T19:49:28.250819,JPY,6500.0,False,False,0,True
